tot2013,tot2014,tot2015,tot2016,tot2017,tot2018,avwkdy13,avwkdy14,avwkdy15,avwkdy16,avwkdy17,avwkdy18,complex_nm,trains,avwken13,avwken14,avwken15,avwken16,avwken17,avwken18
957984.0,1033559.0,1056380.0,1070024.0,1036746.0,944598,3222.0,3416.0,3480.0,3532.0,3486,3166,138 St-Grand Concourse,4 5,2540.0,3017.0,3136.0,3123.0,2793,2557
4427399.0,4536888.0,4424754.0,4381900.0,4255015.0,3972763,14380.0,14576.0,14465.0,14460.0,14063,13081,149 St-Grand Concourse,2 4 5,14202.0,15326.0,13683.0,12797.0,12623,11873
8766012.0,8961029.0,8922188.0,8784407.0,8596506.0,8392290,26972.0,27541.0,27020.0,26947.0,26674,26034,161 St-Yankee Stadium,4 B D,35071.0,36176.0,36969.0,35171.0,33398,32173
3081534.0,3067345.0,3180274.0,3179087.0,2954228.0,2933140,9904.0,9793.0,9923.0,9972.0,9466,9398,167 St,4,10176.0,10417.0,11942.0,11579.0,9981,9822
3091289.0,3245977.0,3295032.0,3365748.0,3293451.0,2022919,9374.0,9906.0,10166.0,10439.0,10223,6342,167 St,B D,12887.0,13220.0,12890.0,12775.0,12682,7529
2961575.0,2941958.0,3045205.0,3038777.0,2785331.0,2562443,9525.0,9403.0,9507.0,9514.0,8910,8140,170 St,4,9768.0,9960.0,11398.0,11161.0,9482,8936
2174082.0,2297459.0,2286670.0,2317558.0,2270027.0,2454974,6563.0,6988.0,7101.0,7225.0,7089,7913,170 St,B D,9216.0,9490.0,8737.0,8633.0,8558,8037
2301756.0,2374812.0,2313651.0,2411413.0,2334317.0,2056692,7339.0,7599.0,7619.0,7690.0,7466,6751,174 St,2 5,7907.0,8003.0,6797.0,8183.0,7974,6141
1598189.0,1719504.0,1695879.0,1752387.0,1735321.0,1005075,4885.0,5301.0,5312.0,5519.0,5475,3221,174-175 Sts,B D,6499.0,6777.0,6271.0,6280.0,6298,3404
1837995.0,1848854.0,1969221.0,2036529.0,1943854.0,1803691,5905.0,5914.0,6160.0,6378.0,6232,5807,176 St,4,6067.0,6217.0,7318.0,7459.0,6549,5937
1520856.0,1604218.0,1643266.0,1682092.0,1577144.0,1502814,4554.0,4813.0,5020.0,5177.0,4990,4752,182-183 Sts,B D,6617.0,6939.0,6660.0,6574.0,5623,5347
2002633.0,2007140.0,2057944.0,2071316.0,2001410.0,1831457,6360.0,6356.0,6372.0,6443.0,6271,5754,183 St,4,6967.0,7056.0,7944.0,7786.0,7426,6696
1099491.0,1124522.0,1108859.0,1049128.0,1044200.0,1026894,3483.0,3544.0,3529.0,3423.0,3439,3335,219 St,2 5,3889.0,4056.0,3837.0,3200.0,3091,3248
